rank,id,recipe,final_score,ramp_fit,occupancy,structure,temporal_motion,novelty,start_luma,end_luma,mask,mask_preview,demo
1,plasma-0022,plasma,0.7607,0.6959,0.6979,0.8710,0.6892,1.0000,0.2316,0.9033,masks/plasma-0022__seed-785583466.mp4,mask-previews/plasma-0022__seed-785583466.mp4,demos/plasma-0022__seed-785583466.mp4
2,plasma-0003,plasma,0.6872,0.6904,0.7501,0.7218,0.7035,0.4570,0.2359,0.9102,masks/plasma-0003__seed-543052227.mp4,mask-previews/plasma-0003__seed-543052227.mp4,demos/plasma-0003__seed-543052227.mp4
3,plasma-0032,plasma,0.6742,0.7121,0.7885,0.5899,0.6803,0.4727,0.2162,0.9143,masks/plasma-0032__seed-721594661.mp4,mask-previews/plasma-0032__seed-721594661.mp4,demos/plasma-0032__seed-721594661.mp4
4,plasma-0006,plasma,0.6741,0.6996,0.5645,0.7781,0.7693,0.4531,0.2241,0.8841,masks/plasma-0006__seed-305626299.mp4,mask-previews/plasma-0006__seed-305626299.mp4,demos/plasma-0006__seed-305626299.mp4
5,plasma-0017,plasma,0.6516,0.6994,0.6959,0.4375,0.9220,0.4180,0.2315,0.9024,masks/plasma-0017__seed-887994340.mp4,mask-previews/plasma-0017__seed-887994340.mp4,demos/plasma-0017__seed-887994340.mp4
6,plasma-0008,plasma,0.6405,0.6769,0.8247,0.3813,0.9005,0.2734,0.2267,0.9216,masks/plasma-0008__seed-880657965.mp4,mask-previews/plasma-0008__seed-880657965.mp4,demos/plasma-0008__seed-880657965.mp4
7,glitch-bands-0035,glitch-bands,0.6362,0.6609,0.8115,0.4510,0.8024,0.3203,0.2774,0.9206,masks/glitch-bands-0035__seed-196910040.mp4,mask-previews/glitch-bands-0035__seed-196910040.mp4,demos/glitch-bands-0035__seed-196910040.mp4
8,glitch-bands-0039,glitch-bands,0.6345,0.6762,0.8197,0.4516,0.7046,0.3789,0.1753,0.9210,masks/glitch-bands-0039__seed-443797902.mp4,mask-previews/glitch-bands-0039__seed-443797902.mp4,demos/glitch-bands-0039__seed-443797902.mp4
9,plasma-0009,plasma,0.6200,0.7249,0.8147,0.4066,0.6155,0.2969,0.1384,0.9184,masks/plasma-0009__seed-219097779.mp4,mask-previews/plasma-0009__seed-219097779.mp4,demos/plasma-0009__seed-219097779.mp4
10,plasma-0027,plasma,0.6009,0.7008,0.5516,0.8565,0.3008,0.2891,0.2288,0.8801,masks/plasma-0027__seed-976607068.mp4,mask-previews/plasma-0027__seed-976607068.mp4,demos/plasma-0027__seed-976607068.mp4
11,glitch-bands-0026,glitch-bands,0.5930,0.6659,0.7910,0.2706,0.7393,0.3672,0.2740,0.9173,masks/glitch-bands-0026__seed-844294198.mp4,mask-previews/glitch-bands-0026__seed-844294198.mp4,demos/glitch-bands-0026__seed-844294198.mp4
12,glitch-bands-0023,glitch-bands,0.5909,0.6996,0.6482,0.6611,0.3139,0.3711,0.2516,0.8935,masks/glitch-bands-0023__seed-356768077.mp4,mask-previews/glitch-bands-0023__seed-356768077.mp4,demos/glitch-bands-0023__seed-356768077.mp4
13,white-burn-0038,white-burn,0.5898,0.8232,0.9407,0.0000,0.5828,0.2617,0.0824,0.9216,masks/white-burn-0038__seed-322795258.mp4,mask-previews/white-burn-0038__seed-322795258.mp4,demos/white-burn-0038__seed-322795258.mp4
14,glitch-bands-0033,glitch-bands,0.5881,0.6784,0.7301,0.5611,0.4622,0.2305,0.2634,0.9096,masks/glitch-bands-0033__seed-392009376.mp4,mask-previews/glitch-bands-0033__seed-392009376.mp4,demos/glitch-bands-0033__seed-392009376.mp4
15,glitch-bands-0042,glitch-bands,0.5689,0.6928,0.6232,0.7086,0.2546,0.2188,0.2576,0.8901,masks/glitch-bands-0042__seed-30489031.mp4,mask-previews/glitch-bands-0042__seed-30489031.mp4,demos/glitch-bands-0042__seed-30489031.mp4
16,plasma-0007,plasma,0.5688,0.6542,0.8126,0.3362,0.6086,0.1875,0.2509,0.9216,masks/plasma-0007__seed-243978423.mp4,mask-previews/plasma-0007__seed-243978423.mp4,demos/plasma-0007__seed-243978423.mp4
17,glitch-bands-0019,glitch-bands,0.5394,0.7463,0.4403,0.7830,0.0000,0.3359,0.0627,0.8486,masks/glitch-bands-0019__seed-354329934.mp4,mask-previews/glitch-bands-0019__seed-354329934.mp4,demos/glitch-bands-0019__seed-354329934.mp4
18,glitch-bands-0043,glitch-bands,0.5340,0.6692,0.6439,0.4332,0.4845,0.1172,0.2786,0.8949,masks/glitch-bands-0043__seed-270891257.mp4,mask-previews/glitch-bands-0043__seed-270891257.mp4,demos/glitch-bands-0043__seed-270891257.mp4
19,glitch-bands-0025,glitch-bands,0.5325,0.7505,0.4478,0.5885,0.1152,0.4531,0.0627,0.8345,masks/glitch-bands-0025__seed-764112589.mp4,mask-previews/glitch-bands-0025__seed-764112589.mp4,demos/glitch-bands-0025__seed-764112589.mp4
20,white-burn-0030,white-burn,0.5237,0.7568,0.9407,0.0000,0.4711,0.0000,0.2431,0.9216,masks/white-burn-0030__seed-400791780.mp4,mask-previews/white-burn-0030__seed-400791780.mp4,demos/white-burn-0030__seed-400791780.mp4
21,block-decay-0041,block-decay,0.5170,0.7264,0.8667,0.0000,0.5964,0.0000,0.0627,0.9216,masks/block-decay-0041__seed-383193860.mp4,mask-previews/block-decay-0041__seed-383193860.mp4,demos/block-decay-0041__seed-383193860.mp4
22,glitch-bands-0010,glitch-bands,0.5130,0.7157,0.4198,0.6920,0.0849,0.2734,0.1839,0.8440,masks/glitch-bands-0010__seed-219559784.mp4,mask-previews/glitch-bands-0010__seed-219559784.mp4,demos/glitch-bands-0010__seed-219559784.mp4
23,block-decay-0002,block-decay,0.4989,0.6957,0.8296,0.0000,0.5964,0.0000,0.0627,0.9216,masks/block-decay-0002__seed-926237039.mp4,mask-previews/block-decay-0002__seed-926237039.mp4,demos/block-decay-0002__seed-926237039.mp4
24,block-decay-0024,block-decay,0.4848,0.6696,0.8296,0.0000,0.5637,0.0000,0.1098,0.9216,masks/block-decay-0024__seed-992833508.mp4,mask-previews/block-decay-0024__seed-992833508.mp4,demos/block-decay-0024__seed-992833508.mp4
25,block-decay-0016,block-decay,0.4818,0.6656,0.8296,0.0000,0.5528,0.0000,0.1255,0.9216,masks/block-decay-0016__seed-364270230.mp4,mask-previews/block-decay-0016__seed-364270230.mp4,demos/block-decay-0016__seed-364270230.mp4
26,block-decay-0001,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0001__seed-100072519.mp4,mask-previews/block-decay-0001__seed-100072519.mp4,demos/block-decay-0001__seed-100072519.mp4
27,block-decay-0004,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0004__seed-987902302.mp4,mask-previews/block-decay-0004__seed-987902302.mp4,demos/block-decay-0004__seed-987902302.mp4
28,block-decay-0005,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0005__seed-65943140.mp4,mask-previews/block-decay-0005__seed-65943140.mp4,demos/block-decay-0005__seed-65943140.mp4
29,block-decay-0011,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0011__seed-523030886.mp4,mask-previews/block-decay-0011__seed-523030886.mp4,demos/block-decay-0011__seed-523030886.mp4
30,block-decay-0014,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0014__seed-88128833.mp4,mask-previews/block-decay-0014__seed-88128833.mp4,demos/block-decay-0014__seed-88128833.mp4
31,block-decay-0029,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0029__seed-858357335.mp4,mask-previews/block-decay-0029__seed-858357335.mp4,demos/block-decay-0029__seed-858357335.mp4
32,block-decay-0031,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0031__seed-967201828.mp4,mask-previews/block-decay-0031__seed-967201828.mp4,demos/block-decay-0031__seed-967201828.mp4
33,block-decay-0036,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0036__seed-227232752.mp4,mask-previews/block-decay-0036__seed-227232752.mp4,demos/block-decay-0036__seed-227232752.mp4
34,block-decay-0040,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0040__seed-865947287.mp4,mask-previews/block-decay-0040__seed-865947287.mp4,demos/block-decay-0040__seed-865947287.mp4
35,block-decay-0045,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0045__seed-240151612.mp4,mask-previews/block-decay-0045__seed-240151612.mp4,demos/block-decay-0045__seed-240151612.mp4
36,block-decay-0046,block-decay,0.4745,0.6565,0.8296,0.0000,0.5256,0.0000,0.1647,0.9216,masks/block-decay-0046__seed-988306300.mp4,mask-previews/block-decay-0046__seed-988306300.mp4,demos/block-decay-0046__seed-988306300.mp4
