rank,id,recipe,final_score,ramp_fit,occupancy,structure,temporal_motion,novelty,start_luma,end_luma,mask,mask_preview,demo
1,plasma-0017,plasma,0.8467,0.8635,0.7305,0.7910,0.9345,1.0000,0.1365,0.8999,masks/plasma-0017__seed-379050353.mp4,mask-previews/plasma-0017__seed-379050353.mp4,demos/plasma-0017__seed-379050353.mp4
2,plasma-0036,plasma,0.8024,0.8271,0.5485,1.0000,0.9956,0.5391,0.0916,0.7058,masks/plasma-0036__seed-852553484.mp4,mask-previews/plasma-0036__seed-852553484.mp4,demos/plasma-0036__seed-852553484.mp4
3,plasma-0005,plasma,0.7838,0.8250,0.7171,0.8910,0.8332,0.4844,0.1453,0.9006,masks/plasma-0005__seed-278348619.mp4,mask-previews/plasma-0005__seed-278348619.mp4,demos/plasma-0005__seed-278348619.mp4
4,plasma-0042,plasma,0.7458,0.8719,0.5497,0.9104,0.6992,0.4375,0.0879,0.7804,masks/plasma-0042__seed-276969404.mp4,mask-previews/plasma-0042__seed-276969404.mp4,demos/plasma-0042__seed-276969404.mp4
5,plasma-0024,plasma,0.7030,0.7974,0.5114,1.0000,0.5270,0.4258,0.1660,0.7709,masks/plasma-0024__seed-259715775.mp4,mask-previews/plasma-0024__seed-259715775.mp4,demos/plasma-0024__seed-259715775.mp4
6,plasma-0043,plasma,0.6823,0.8282,0.5229,0.8838,0.4698,0.4063,0.1457,0.7848,masks/plasma-0043__seed-78350163.mp4,mask-previews/plasma-0043__seed-78350163.mp4,demos/plasma-0043__seed-78350163.mp4
7,plasma-0022,plasma,0.6457,0.7972,0.5411,0.8421,0.4600,0.2109,0.1419,0.7053,masks/plasma-0022__seed-183602209.mp4,mask-previews/plasma-0022__seed-183602209.mp4,demos/plasma-0022__seed-183602209.mp4
8,plasma-0026,plasma,0.6451,0.8060,0.5435,1.0000,0.0992,0.3945,0.1391,0.6840,masks/plasma-0026__seed-955104538.mp4,mask-previews/plasma-0026__seed-955104538.mp4,demos/plasma-0026__seed-955104538.mp4
9,plasma-0034,plasma,0.6417,0.8358,0.5399,1.0000,0.1598,0.1719,0.1328,0.7595,masks/plasma-0034__seed-158412529.mp4,mask-previews/plasma-0034__seed-158412529.mp4,demos/plasma-0034__seed-158412529.mp4
10,plasma-0047,plasma,0.6323,0.8058,0.5096,0.6804,0.5764,0.2578,0.1308,0.7952,masks/plasma-0047__seed-908796052.mp4,mask-previews/plasma-0047__seed-908796052.mp4,demos/plasma-0047__seed-908796052.mp4
11,plasma-0048,plasma,0.6237,0.7720,0.5273,0.8515,0.2500,0.4023,0.1645,0.7069,masks/plasma-0048__seed-72897206.mp4,mask-previews/plasma-0048__seed-72897206.mp4,demos/plasma-0048__seed-72897206.mp4
12,plasma-0015,plasma,0.6220,0.7999,0.5334,1.0000,0.0664,0.2539,0.1456,0.6913,masks/plasma-0015__seed-430220145.mp4,mask-previews/plasma-0015__seed-430220145.mp4,demos/plasma-0015__seed-430220145.mp4
13,plasma-0035,plasma,0.6087,0.7913,0.5077,0.6618,0.4051,0.3711,0.1721,0.8123,masks/plasma-0035__seed-524173877.mp4,mask-previews/plasma-0035__seed-524173877.mp4,demos/plasma-0035__seed-524173877.mp4
14,glitch-bands-0014,glitch-bands,0.6060,0.7978,0.5435,0.9615,0.0000,0.2578,0.1040,0.7083,masks/glitch-bands-0014__seed-357888631.mp4,mask-previews/glitch-bands-0014__seed-357888631.mp4,demos/glitch-bands-0014__seed-357888631.mp4
15,glitch-bands-0016,glitch-bands,0.6002,0.7942,0.5229,0.9259,0.0000,0.3242,0.1559,0.7391,masks/glitch-bands-0016__seed-237521418.mp4,mask-previews/glitch-bands-0016__seed-237521418.mp4,demos/glitch-bands-0016__seed-237521418.mp4
16,glitch-bands-0020,glitch-bands,0.5874,0.7808,0.5197,0.8828,0.0000,0.3359,0.1621,0.6898,masks/glitch-bands-0020__seed-991969653.mp4,mask-previews/glitch-bands-0020__seed-991969653.mp4,demos/glitch-bands-0020__seed-991969653.mp4
17,glitch-bands-0002,glitch-bands,0.5871,0.7789,0.5401,0.8604,0.0000,0.3438,0.1016,0.7290,masks/glitch-bands-0002__seed-761559523.mp4,mask-previews/glitch-bands-0002__seed-761559523.mp4,demos/glitch-bands-0002__seed-761559523.mp4
18,glitch-bands-0011,glitch-bands,0.5672,0.8097,0.5378,0.7541,0.0000,0.2539,0.0627,0.6838,masks/glitch-bands-0011__seed-621030872.mp4,mask-previews/glitch-bands-0011__seed-621030872.mp4,demos/glitch-bands-0011__seed-621030872.mp4
19,white-burn-0023,white-burn,0.5657,0.6889,0.8351,0.1207,0.6393,0.3750,0.0627,0.9216,masks/white-burn-0023__seed-542961929.mp4,mask-previews/white-burn-0023__seed-542961929.mp4,demos/white-burn-0023__seed-542961929.mp4
20,glitch-bands-0031,glitch-bands,0.5615,0.8100,0.5303,0.7696,0.0000,0.1797,0.1402,0.7318,masks/glitch-bands-0031__seed-956362752.mp4,mask-previews/glitch-bands-0031__seed-956362752.mp4,demos/glitch-bands-0031__seed-956362752.mp4
21,glitch-bands-0040,glitch-bands,0.5578,0.7948,0.5133,0.8068,0.0000,0.1563,0.1493,0.7352,masks/glitch-bands-0040__seed-745255042.mp4,mask-previews/glitch-bands-0040__seed-745255042.mp4,demos/glitch-bands-0040__seed-745255042.mp4
22,glitch-bands-0010,glitch-bands,0.5565,0.7606,0.5376,0.6910,0.0000,0.4453,0.1757,0.6460,masks/glitch-bands-0010__seed-500742532.mp4,mask-previews/glitch-bands-0010__seed-500742532.mp4,demos/glitch-bands-0010__seed-500742532.mp4
23,glitch-bands-0038,glitch-bands,0.5419,0.7970,0.5280,0.6929,0.0000,0.1875,0.0627,0.5946,masks/glitch-bands-0038__seed-491447633.mp4,mask-previews/glitch-bands-0038__seed-491447633.mp4,demos/glitch-bands-0038__seed-491447633.mp4
24,glitch-bands-0013,glitch-bands,0.5403,0.8216,0.5427,0.5845,0.0000,0.2734,0.1178,0.7423,masks/glitch-bands-0013__seed-393142518.mp4,mask-previews/glitch-bands-0013__seed-393142518.mp4,demos/glitch-bands-0013__seed-393142518.mp4
25,glitch-bands-0007,glitch-bands,0.5335,0.8037,0.5279,0.5436,0.0000,0.3789,0.1309,0.6825,masks/glitch-bands-0007__seed-145272428.mp4,mask-previews/glitch-bands-0007__seed-145272428.mp4,demos/glitch-bands-0007__seed-145272428.mp4
26,glitch-bands-0039,glitch-bands,0.5202,0.7682,0.5328,0.6319,0.0000,0.1836,0.1729,0.6621,masks/glitch-bands-0039__seed-457265716.mp4,mask-previews/glitch-bands-0039__seed-457265716.mp4,demos/glitch-bands-0039__seed-457265716.mp4
27,block-decay-0008,block-decay,0.4915,0.6745,0.8296,0.0000,0.5964,0.0000,0.0627,0.9216,masks/block-decay-0008__seed-851196064.mp4,mask-previews/block-decay-0008__seed-851196064.mp4,demos/block-decay-0008__seed-851196064.mp4
