rank,id,recipe,final_score,ramp_fit,occupancy,structure,temporal_motion,novelty,start_luma,end_luma,mask,mask_preview,demo
1,white-burn-0004,white-burn,0.6846,0.8771,0.9407,0.0000,0.5964,1.0000,0.0627,0.9216,masks/white-burn-0004__seed-160624087.mp4,mask-previews/white-burn-0004__seed-160624087.mp4,demos/white-burn-0004__seed-160624087.mp4
2,white-burn-0020,white-burn,0.5759,0.8522,0.9407,0.0000,0.5964,0.0000,0.0627,0.9216,masks/white-burn-0020__seed-943197770.mp4,mask-previews/white-burn-0020__seed-943197770.mp4,demos/white-burn-0020__seed-943197770.mp4
3,white-burn-0001,white-burn,0.5303,0.7676,0.9407,0.0000,0.4902,0.0000,0.2157,0.9216,masks/white-burn-0001__seed-88177144.mp4,mask-previews/white-burn-0001__seed-88177144.mp4,demos/white-burn-0001__seed-88177144.mp4
4,dropout-foam-0017,dropout-foam,0.5058,0.6813,0.8319,0.0429,0.6156,0.0000,0.0627,0.9216,masks/dropout-foam-0017__seed-826496488.mp4,mask-previews/dropout-foam-0017__seed-826496488.mp4,demos/dropout-foam-0017__seed-826496488.mp4
5,dropout-foam-0022,dropout-foam,0.4942,0.6776,0.8301,0.0053,0.6001,0.0000,0.0627,0.9216,masks/dropout-foam-0022__seed-638071510.mp4,mask-previews/dropout-foam-0022__seed-638071510.mp4,demos/dropout-foam-0022__seed-638071510.mp4
6,dropout-foam-0002,dropout-foam,0.4777,0.6467,0.7941,0.0110,0.6023,0.0000,0.0627,0.9216,masks/dropout-foam-0002__seed-780850579.mp4,mask-previews/dropout-foam-0002__seed-780850579.mp4,demos/dropout-foam-0002__seed-780850579.mp4
7,white-burn-0019,white-burn,0.4694,0.6903,0.8668,0.0001,0.3628,0.0000,0.3996,0.9216,masks/white-burn-0019__seed-2906144.mp4,mask-previews/white-burn-0019__seed-2906144.mp4,demos/white-burn-0019__seed-2906144.mp4
8,dropout-foam-0012,dropout-foam,0.4646,0.6267,0.7951,0.0385,0.5235,0.0000,0.1878,0.9216,masks/dropout-foam-0012__seed-367860205.mp4,mask-previews/dropout-foam-0012__seed-367860205.mp4,demos/dropout-foam-0012__seed-367860205.mp4
9,white-burn-0003,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0003__seed-670069165.mp4,mask-previews/white-burn-0003__seed-670069165.mp4,demos/white-burn-0003__seed-670069165.mp4
10,white-burn-0005,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0005__seed-600006449.mp4,mask-previews/white-burn-0005__seed-600006449.mp4,demos/white-burn-0005__seed-600006449.mp4
11,white-burn-0008,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0008__seed-352580494.mp4,mask-previews/white-burn-0008__seed-352580494.mp4,demos/white-burn-0008__seed-352580494.mp4
12,white-burn-0010,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0010__seed-771134830.mp4,mask-previews/white-burn-0010__seed-771134830.mp4,demos/white-burn-0010__seed-771134830.mp4
13,white-burn-0016,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0016__seed-382017833.mp4,mask-previews/white-burn-0016__seed-382017833.mp4,demos/white-burn-0016__seed-382017833.mp4
14,white-burn-0018,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0018__seed-326464972.mp4,mask-previews/white-burn-0018__seed-326464972.mp4,demos/white-burn-0018__seed-326464972.mp4
15,white-burn-0023,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0023__seed-622562395.mp4,mask-previews/white-burn-0023__seed-622562395.mp4,demos/white-burn-0023__seed-622562395.mp4
16,dropout-foam-0014,dropout-foam,0.4550,0.6153,0.7949,0.0431,0.4803,0.0000,0.2549,0.9216,masks/dropout-foam-0014__seed-88313739.mp4,mask-previews/dropout-foam-0014__seed-88313739.mp4,demos/dropout-foam-0014__seed-88313739.mp4
17,dropout-foam-0013,dropout-foam,0.4454,0.6124,0.7934,0.0151,0.4624,0.0000,0.2609,0.9216,masks/dropout-foam-0013__seed-52081407.mp4,mask-previews/dropout-foam-0013__seed-52081407.mp4,demos/dropout-foam-0013__seed-52081407.mp4
18,dropout-foam-0024,dropout-foam,0.4411,0.6111,0.7927,0.0017,0.4560,0.0000,0.2653,0.9216,masks/dropout-foam-0024__seed-439540489.mp4,mask-previews/dropout-foam-0024__seed-439540489.mp4,demos/dropout-foam-0024__seed-439540489.mp4
19,dropout-foam-0009,dropout-foam,0.4408,0.6109,0.7927,0.0007,0.4556,0.0000,0.2660,0.9216,masks/dropout-foam-0009__seed-266176451.mp4,mask-previews/dropout-foam-0009__seed-266176451.mp4,demos/dropout-foam-0009__seed-266176451.mp4
