rank,id,recipe,final_score,ramp_fit,occupancy,structure,temporal_motion,novelty,start_luma,end_luma,mask,mask_preview,demo
1,white-burn-0001,white-burn,0.6811,0.8670,0.9407,0.0000,0.5964,1.0000,0.0627,0.9216,masks/white-burn-0001__seed-718883130.mp4,mask-previews/white-burn-0001__seed-718883130.mp4,demos/white-burn-0001__seed-718883130.mp4
2,white-burn-0014,white-burn,0.5759,0.8522,0.9407,0.0000,0.5964,0.0000,0.0627,0.9216,masks/white-burn-0014__seed-653746992.mp4,mask-previews/white-burn-0014__seed-653746992.mp4,demos/white-burn-0014__seed-653746992.mp4
3,head-switch-smear-0022,head-switch-smear,0.4877,0.6637,0.8296,0.0000,0.5964,0.0000,0.0627,0.9216,masks/head-switch-smear-0022__seed-752348082.mp4,mask-previews/head-switch-smear-0022__seed-752348082.mp4,demos/head-switch-smear-0022__seed-752348082.mp4
4,head-switch-smear-0008,head-switch-smear,0.4861,0.6591,0.8296,0.0000,0.5964,0.0000,0.0627,0.9216,masks/head-switch-smear-0008__seed-330402933.mp4,mask-previews/head-switch-smear-0008__seed-330402933.mp4,demos/head-switch-smear-0008__seed-330402933.mp4
5,white-burn-0019,white-burn,0.4824,0.7009,0.9037,0.0000,0.3758,0.0000,0.3804,0.9216,masks/white-burn-0019__seed-875663185.mp4,mask-previews/white-burn-0019__seed-875663185.mp4,demos/white-burn-0019__seed-875663185.mp4
6,white-burn-0016,white-burn,0.4634,0.6786,0.8670,0.0033,0.3456,0.0000,0.4260,0.9216,masks/white-burn-0016__seed-28718544.mp4,mask-previews/white-burn-0016__seed-28718544.mp4,demos/white-burn-0016__seed-28718544.mp4
7,white-burn-0020,white-burn,0.4621,0.6781,0.8667,0.0000,0.3432,0.0000,0.4274,0.9216,masks/white-burn-0020__seed-293919919.mp4,mask-previews/white-burn-0020__seed-293919919.mp4,demos/white-burn-0020__seed-293919919.mp4
8,white-burn-0002,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0002__seed-219494283.mp4,mask-previews/white-burn-0002__seed-219494283.mp4,demos/white-burn-0002__seed-219494283.mp4
9,white-burn-0004,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0004__seed-775489499.mp4,mask-previews/white-burn-0004__seed-775489499.mp4,demos/white-burn-0004__seed-775489499.mp4
10,white-burn-0005,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0005__seed-300459659.mp4,mask-previews/white-burn-0005__seed-300459659.mp4,demos/white-burn-0005__seed-300459659.mp4
11,white-burn-0006,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0006__seed-505575335.mp4,mask-previews/white-burn-0006__seed-505575335.mp4,demos/white-burn-0006__seed-505575335.mp4
12,white-burn-0009,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0009__seed-249682944.mp4,mask-previews/white-burn-0009__seed-249682944.mp4,demos/white-burn-0009__seed-249682944.mp4
13,white-burn-0011,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0011__seed-391585798.mp4,mask-previews/white-burn-0011__seed-391585798.mp4,demos/white-burn-0011__seed-391585798.mp4
14,white-burn-0012,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0012__seed-127355544.mp4,mask-previews/white-burn-0012__seed-127355544.mp4,demos/white-burn-0012__seed-127355544.mp4
15,white-burn-0015,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0015__seed-58795564.mp4,mask-previews/white-burn-0015__seed-58795564.mp4,demos/white-burn-0015__seed-58795564.mp4
16,white-burn-0017,white-burn,0.4621,0.6781,0.8667,0.0000,0.3431,0.0000,0.4275,0.9216,masks/white-burn-0017__seed-93421998.mp4,mask-previews/white-burn-0017__seed-93421998.mp4,demos/white-burn-0017__seed-93421998.mp4
